AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
4092.307617,4063.5896,4103.589844,4004.102539,4051.281982,3997.94873,3976.410156,3907.179443,3881.025635,4045.640869,3876.410156,3995.384521,3701.53833,3947.179443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,2
4120.512695,4106.153809,4127.179199,4044.615234,4086.666504,4036.410156,4012.820313,3944.102539,3924.102539,4075.384521,3926.153809,4039.487061,3796.410156,3997.94873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4060,4063.076904,4082.563965,3968.717773,4020.512695,3981.025635,3947.692139,3873.845947,3847.179443,4025.128174,3844.615234,3969.230713,3616.410156,3920,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4096.410156,4087.179443,4105.12793,4011.794678,4050.769043,4002.563965,3975.384521,3897.94873,3873.333252,4049.743408,3867.179443,3997.94873,3577.435791,3948.717773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4062.05127,4062.05127,4084.102539,3989.743408,4043.5896,3981.53833,3943.5896,3874.358887,3860,4026.666504,3853.845947,3982.05127,3575.897461,3928.205078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4032.820313,4037.435791,4070.256348,3938.461426,4015.897217,3958.974365,3914.871582,3836.410156,3817.94873,4005.640869,3806.666504,3943.076904,3595.897461,3880,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4081.025635,4075.897217,4104.615234,3995.384521,4039.487061,3997.435791,3963.5896,3889.230713,3872.820313,4050.256348,3870.769043,3995.897217,3724.615234,3930.769043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4027.179443,4031.794678,4060,3962.05127,4003.076904,3957.94873,3914.358887,3832.820313,3815.384521,4005.128174,3811.794678,3940,3554.871826,3856.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4062.05127,4078.974365,4091.281982,4009.743408,4053.333252,4003.5896,3962.05127,3875.384521,3855.897461,4038.974365,3858.974365,3980.512695,3521.025635,3895.897461,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4062.05127,4057.94873,4094.358887,3982.563965,4032.307617,3993.845947,3955.897461,3881.53833,3866.666504,4036.410156,3868.717773,3989.743408,3582.563965,3908.717773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4044.102539,4035.897217,4080.512695,3958.974365,4017.435791,3975.384521,3940,3857.94873,3846.153809,4023.5896,3832.820313,3964.102539,3637.94873,3880,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4074.358887,4100.512695,4103.07666,4029.743408,4071.281982,4020,3981.025635,3908.717773,3909.230713,4067.179443,3902.563965,4011.794678,3765.640869,3936.923096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4030.769043,4056.923096,4068.205078,3964.102539,4026.666504,3978.461426,3929.230713,3850.769043,3846.153809,4019.487061,3841.025635,3961.025635,3606.666504,3879.487061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4093.845947,4097.436035,4121.025391,4029.743408,4079.487061,4030.769043,3994.358887,3899.487061,3893.845947,4058.974365,3901.53833,4022.563965,3609.230713,3945.128174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4071.281982,4084.102539,4110.769043,4039.487061,4091.281982,4021.53833,3977.94873,3893.333252,3901.53833,4052.307617,3914.871582,4014.358887,3673.333252,3942.05127,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4006.666504,4047.179443,4061.53833,3967.692139,4074.358887,3980.512695,3922.05127,3835.384521,3835.897461,4014.358887,3837.435791,3944.615234,3637.435791,3852.307617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4058.974365,4113.846191,4101.538574,4030.769043,4128.205078,4041.025635,3989.743408,3913.845947,3904.102539,4070.256348,3916.410156,4018.974365,3762.563965,3914.871582,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4040.512695,4082.563965,4092.307617,4007.692139,4084.615234,4020.512695,3977.435791,3901.025635,3884.615234,4048.717773,3896.410156,3999.487061,3687.692139,3888.205078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4090.769043,4133.333008,4133.846191,4067.179443,4123.07666,4068.717773,4037.94873,3956.923096,3944.615234,4090.769043,3958.461426,4047.692139,3715.384521,3944.102539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4098.461426,4148.717773,4136.410156,4096.922852,4140,4086.153809,4037.94873,3975.897217,3976.923096,4097.436035,4000.512695,4069.230713,3814.871582,3970.256348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4073.845947,4117.94873,4114.871582,4064.615234,4111.281738,4066.153809,4008.205078,3936.923096,3931.794678,4067.692139,3961.53833,4037.94873,3801.53833,3929.743408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4132.307617,4189.743652,4164.102539,4134.871582,4153.333008,4133.333008,4090.769043,4023.5896,4015.897217,4131.794922,4056.923096,4117.94873,3920,4024.615234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4054.871582,4096.410156,4102.05127,4039.487061,4071.281982,4063.5896,4005.128174,3944.102539,3937.94873,4064.102539,3959.487061,4027.692139,3795.384521,3930.769043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3976.923096,3977.94873,4037.94873,3917.94873,3992.820313,3972.307617,3904.615234,3828.205078,3814.358887,3982.563965,3815.384521,3922.05127,3613.333252,3793.845947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3901.53833,3893.333252,3984.102539,3803.5896,3914.871582,3888.717773,3815.384521,3735.384521,3713.333252,3923.076904,3707.179443,3844.615234,3445.640869,3693.845947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3879.487061,3870.769043,3970.769043,3757.94873,3891.281982,3856.410156,3774.358887,3684.102539,3649.743408,3902.05127,3629.743408,3802.563965,3300.512695,3641.53833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3988.205078,3986.153809,4053.333252,3897.435791,4010.769043,3958.974365,3892.820313,3812.307617,3784.615234,3998.974365,3767.692139,3927.179443,3489.743408,3777.94873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3985.128174,3985.128174,4049.743408,3907.692139,4014.871582,3965.640869,3895.897461,3824.102539,3807.692139,3993.845947,3800,3933.333252,3538.974365,3792.307617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4045.640869,4045.128174,4092.820313,3980.512695,4057.435791,4024.615234,3951.794678,3871.281982,3851.794678,4032.307617,3863.5896,3983.5896,3632.307617,3860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4114.358887,4123.07666,4141.025391,4084.102539,4123.589844,4101.025391,4039.487061,3973.845947,3954.871582,4098.974121,3978.974365,4075.897217,3838.974365,3969.743408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4089.230713,4092.307617,4123.589844,4064.615234,4121.025391,4093.845947,4045.640869,3989.230713,3970.256348,4093.333252,3984.102539,4067.692139,3838.461426,3958.461426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4141.025391,4147.692383,4166.666504,4125.12793,4173.846191,4148.205078,4107.179199,4065.640869,4050.256348,4145.12793,4078.461426,4138.461426,3946.153809,4044.102539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4112.307617,4141.538574,4143.589844,4104.615234,4126.666504,4112.820313,4063.076904,4027.692139,4014.871582,4116.410156,4049.743408,4108.717773,3951.281982,4016.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4095.897217,4135.384277,4128.205078,4092.307617,4123.589844,4101.538574,4048.717773,4010.769043,4002.563965,4109.743652,4021.025635,4089.743408,3932.820313,3989.743408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4115.384277,4115.384277,4138.974121,4090.769043,4165.12793,4129.743652,4058.461426,4037.435791,4040,4123.589844,4054.358887,4112.307617,3985.640869,4022.563965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4090.256348,4062.05127,4117.436035,4041.025635,4115.897461,4097.436035,4017.435791,3982.563965,3972.820313,4080.512695,3995.897217,4065.640869,3897.435791,3975.384521,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4117.94873,4139.487305,4144.615234,4120.512695,4125.641113,4122.563965,4068.717773,4026.153809,4006.666504,4118.461426,4042.05127,4111.281738,3935.384521,4027.692139,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4061.53833,4103.07666,4103.589844,4066.666504,4096.922852,4074.358887,4014.871582,3988.717773,3969.230713,4085.128174,3990.256348,4058.974365,3876.410156,3978.974365,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4050.256348,4050.256348,4089.743408,3998.461426,4102.05127,4063.076904,3987.692139,3961.025635,3935.897461,4065.128174,3943.5896,4025.640869,3848.717773,3937.435791,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4102.563965,4087.179443,4128.205078,4068.205078,4141.025391,4112.307617,4038.974365,4011.281982,3991.281982,4105.12793,4020,4091.794678,3962.05127,4005.640869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4109.743652,4109.743652,4135.384277,4103.07666,4145.641113,4111.281738,4047.692139,4017.435791,3998.461426,4110.256348,4035.897217,4102.05127,3944.102539,4022.563965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4157.436035,4174.871582,4170.769043,4157.94873,4208.717773,4159.487305,4099.487305,4082.563965,4069.743408,4158.974121,4106.153809,4154.358887,4028.717773,4092.307617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4076.923096,4087.692139,4103.589844,4061.53833,4141.538574,4098.461426,4011.281982,4003.076904,3997.94873,4093.845947,4021.025635,4070.256348,3939.487061,4003.076904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4024.615234,4009.230713,4061.025635,3987.692139,4077.94873,4047.692139,3957.94873,3917.94873,3907.692139,4037.435791,3917.435791,3999.487061,3799.487061,3913.845947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4057.435791,4041.53833,4089.743408,4027.179443,4098.461426,4064.102539,3993.333252,3942.563965,3928.717773,4067.692139,3952.820313,4037.435791,3843.076904,3956.923096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3985.128174,3975.897217,4037.435791,3920.512695,4038.974365,3988.717773,3912.820313,3872.307617,3853.333252,4017.94873,3861.53833,3955.897461,3697.435791,3868.205078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3976.923096,3951.281982,4030.256348,3881.53833,4047.179443,3986.666504,3900,3869.743408,3852.820313,4008.205078,3831.794678,3940,3603.076904,3849.743408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3952.820313,3915.384521,4009.743408,3865.640869,4010.769043,3960.512695,3854.871582,3815.384521,3794.358887,3970.256348,3777.94873,3906.153809,3519.487061,3817.435791,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3936.923096,3912.820313,4001.025635,3859.487061,3987.179443,3937.94873,3833.845947,3768.205078,3731.794678,3958.974365,3733.333252,3881.025635,3523.076904,3785.640869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3945.128174,3931.794678,4006.153809,3853.845947,4012.307617,3946.666504,3855.384521,3806.153809,3771.794678,3988.205078,3774.358887,3906.666504,3617.435791,3814.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3860,3807.692139,3934.871582,3709.743408,3906.153809,3841.53833,3742.563965,3698.461426,3665.128174,3898.974365,3640.512695,3792.820313,3353.333252,3692.820313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3894.358887,3824.615234,3962.563965,3737.435791,3912.820313,3855.897461,3760.512695,3695.384521,3661.025635,3912.820313,3633.845947,3807.692139,3270.256348,3705.640869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3948.205078,3914.358887,4008.717773,3837.94873,4008.205078,3929.230713,3833.333252,3771.794678,3750.769043,3975.897217,3736.923096,3885.128174,3448.205078,3794.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3957.94873,3942.05127,4015.384521,3884.102539,4051.794678,3954.358887,3858.461426,3809.230713,3789.743408,3993.333252,3775.384521,3905.128174,3524.102539,3823.076904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4042.05127,4009.743408,4075.897217,3972.307617,4092.820313,4023.5896,3953.333252,3920,3903.076904,4067.179443,3893.333252,4003.076904,3695.384521,3947.179443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4069.230713,4019.487061,4091.794678,3972.307617,4088.205078,4042.05127,3977.435791,3945.640869,3940,4084.102539,3934.358887,4029.230713,3789.743408,3994.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4061.53833,4029.230713,4085.128174,4000,4110.769043,4052.820313,3976.923096,3937.435791,3935.897461,4080,3943.076904,4029.743408,3799.487061,4000.512695,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4001.53833,3985.640869,4043.5896,3969.743408,4064.102539,4009.230713,3920,3889.230713,3882.563965,4034.871582,3890.769043,3980.512695,3725.640869,3940,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3958.461426,3946.666504,4013.333252,3890.256348,4014.358887,3966.153809,3871.281982,3835.384521,3815.897461,3994.358887,3809.743408,3922.563965,3632.820313,3864.102539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4029.230713,4024.102539,4066.666504,3969.230713,4086.666504,4039.487061,3954.358887,3921.53833,3904.615234,4066.666504,3907.692139,4003.5896,3752.820313,3962.05127,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4005.640869,3981.025635,4044.615234,3948.205078,4051.281982,4023.5896,3924.102539,3898.461426,3886.666504,4045.640869,3896.410156,3975.384521,3735.897461,3946.666504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3933.333252,3894.871582,3986.153809,3843.5896,3977.94873,3948.205078,3824.102539,3783.5896,3764.102539,3962.05127,3768.205078,3881.53833,3616.410156,3830.769043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3901.53833,3866.666504,3967.179443,3797.435791,3955.897461,3913.333252,3783.076904,3737.435791,3710.769043,3934.358887,3704.102539,3846.666504,3542.05127,3778.974365,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3896.923096,3844.102539,3970.256348,3772.307617,3940,3916.410156,3793.333252,3735.897461,3703.076904,3938.974365,3682.05127,3828.205078,3429.743408,3761.025635,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3948.205078,3892.307617,4009.230713,3838.461426,3986.153809,3968.205078,3860.512695,3801.025635,3767.692139,3983.076904,3750.769043,3885.640869,3464.615234,3827.692139,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3898.461426,3860,3969.743408,3811.794678,3952.307617,3911.281982,3802.05127,3757.94873,3719.487061,3936.410156,3700,3843.5896,3427.692139,3776.923096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3898.461426,3862.05127,3974.358887,3801.53833,3961.025635,3909.743408,3801.53833,3745.128174,3706.153809,3938.461426,3686.666504,3845.640869,3497.94873,3770.256348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3990.256348,3964.615234,4048.717773,3910.769043,4049.230713,4006.153809,3911.281982,3849.230713,3829.230713,4028.717773,3830.256348,3957.94873,3742.563965,3904.102539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3975.897217,3961.53833,4037.435791,3916.410156,4043.5896,3996.410156,3905.128174,3844.615234,3831.794678,4018.461426,3838.461426,3942.563965,3684.615234,3897.94873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3963.076904,3936.923096,4025.640869,3905.128174,4041.025635,3992.307617,3886.666504,3827.692139,3811.281982,4003.076904,3815.897461,3925.128174,3581.025635,3867.179443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3952.820313,3919.487061,4017.94873,3885.640869,4021.53833,3981.025635,3864.102539,3806.666504,3790.256348,3988.205078,3789.230713,3910.256348,3582.563965,3842.563965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3985.640869,3965.640869,4053.845947,3925.640869,4036.923096,3997.435791,3911.281982,3854.358887,3831.281982,4019.487061,3837.435791,3951.281982,3714.871582,3896.923096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4009.230713,3998.461426,4080.512695,3973.333252,4064.615234,4026.666504,3962.05127,3921.53833,3896.410156,4052.820313,3916.410156,4004.102539,3860,3965.128174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3946.153809,3930.769043,4027.179443,3903.076904,4027.692139,3984.615234,3901.025635,3857.94873,3834.358887,4002.563965,3838.461426,3935.384521,3716.410156,3884.615234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4013.845947,3996.410156,4073.333252,3972.307617,4077.94873,4034.871582,3957.435791,3913.333252,3892.820313,4050.769043,3903.5896,3998.461426,3736.410156,3958.461426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4049.230713,4033.333252,4104.615234,4020,4093.845947,4062.05127,3987.179443,3953.333252,3935.384521,4076.923096,3969.743408,4042.05127,3865.128174,4019.487061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4023.5896,4016.923096,4087.179443,4011.281982,4103.589844,4068.717773,3980,3937.435791,3921.53833,4069.743408,3955.384521,4025.128174,3921.53833,3990.256348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4060,4062.05127,4112.307617,4063.5896,4151.281738,4118.974121,4026.153809,3993.333252,3988.205078,4107.692383,4024.615234,4080.512695,4035.897217,4049.743408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4032.307617,4020.512695,4088.717773,4014.358887,4099.487305,4081.53833,3983.5896,3950.256348,3942.563965,4067.692139,3986.666504,4042.563965,3948.205078,4016.923096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4044.615234,4024.102539,4096.922852,4029.743408,4109.230469,4097.436035,4005.128174,3961.53833,3949.743408,4082.563965,3997.94873,4052.307617,3931.281982,4026.666504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4056.923096,4030.256348,4104.102539,4048.717773,4128.205078,4122.05127,4018.461426,3988.205078,3987.692139,4100.512695,4029.230713,4069.743408,4000.512695,4046.666504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4047.179443,4025.640869,4100.512695,4039.487061,4123.589844,4118.974121,4004.102539,3976.410156,3970.769043,4087.692139,4012.307617,4056.923096,3995.897217,4033.845947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4061.53833,4064.102539,4117.94873,4083.076904,4148.205078,4135.384277,4041.025635,4011.281982,3995.897217,4115.384277,4051.794678,4089.230713,4058.461426,4076.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4050.256348,4048.205078,4108.205078,4064.615234,4138.461426,4118.461426,4044.615234,4011.794678,3995.897217,4113.333008,4047.179443,4080,4051.281982,4066.153809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4105.641113,4102.05127,4149.230469,4122.05127,4210.256348,4179.487305,4110.769043,4088.717773,4079.487061,4158.461426,4126.666504,4147.179199,4154.358887,4137.436035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4087.179443,4096.410156,4136.922852,4120,4214.871582,4174.358887,4088.717773,4077.435791,4072.820313,4140,4122.563965,4134.871582,4168.717773,4129.743652,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4075.897217,4085.128174,4126.666504,4105.12793,4193.333008,4155.897461,4072.307617,4041.025635,4030.769043,4120,4084.102539,4104.102539,4111.281738,4094.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4101.538574,4115.897461,4147.179199,4140.512695,4216.922852,4186.666504,4116.410156,4093.333252,4085.128174,4154.871582,4140,4147.179199,4183.07666,4140,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4025.128174,4021.025635,4087.692139,4040.512695,4143.589844,4110.769043,4028.205078,4011.794678,4000,4082.563965,4041.025635,4063.076904,4046.153809,4046.666504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4015.384521,3986.153809,4076.410156,4006.666504,4114.358887,4075.384521,3987.692139,3961.53833,3946.666504,4051.794678,3989.743408,4030.256348,3954.871582,4006.666504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3897.94873,3867.692139,3992.820313,3857.435791,4004.615234,3960,3855.384521,3823.076904,3798.974365,3958.461426,3829.230713,3904.102539,3714.871582,3848.205078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3846.153809,3825.128174,3961.53833,3777.94873,3977.435791,3924.102539,3819.487061,3759.487061,3717.94873,3932.820313,3722.563965,3843.076904,3530.256348,3760,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3970.769043,3963.076904,4054.871582,3935.384521,4106.666504,4048.205078,3964.615234,3917.435791,3886.153809,4051.281982,3898.461426,3989.230713,3765.640869,3932.307617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
3949.743408,3926.666504,4031.281982,3916.410156,4075.384521,4018.461426,3928.717773,3895.897461,3869.230713,4019.487061,3881.53833,3957.94873,3752.307617,3907.179443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4005.640869,3983.5896,4077.435791,3993.845947,4122.563965,4078.461426,3995.384521,3949.743408,3919.487061,4067.179443,3948.205078,4018.461426,3847.179443,3979.487061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
